"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"Mrpl15","OK","negbinomial.size",0.810200321747967,0.910003488574494,"Mrpl15",226,TRUE
"Lypla1","OK","negbinomial.size",0.0272816113286856,0.119327766022346,"Lypla1",169,TRUE
"Tcea1","OK","negbinomial.size",0.775547143038798,0.892552994196007,"Tcea1",341,TRUE
"Atp6v1h","OK","negbinomial.size",0.758012105183603,0.885231736725874,"Atp6v1h",153,TRUE
"Rb1cc1","OK","negbinomial.size",0.523366165164543,0.736511521641827,"Rb1cc1",221,TRUE
"4732440D04Rik","OK","negbinomial.size",0.156786769096002,0.382361813817148,"4732440D04Rik",14,FALSE
"Pcmtd1","OK","negbinomial.size",0.0234345403001319,0.106361870637213,"Pcmtd1",308,TRUE
"Rrs1","OK","negbinomial.size",0.0158994413914205,0.0792214941006038,"Rrs1",91,TRUE
"Mybl1","OK","negbinomial.size",0.0100687345342773,0.0566416863409193,"Mybl1",42,TRUE
"Vcpip1","OK","negbinomial.size",0.29352043110252,0.545651949391978,"Vcpip1",84,TRUE
"Sgk3","OK","negbinomial.size",0.303161399733119,0.556466280984329,"Sgk3",63,TRUE
"Snhg6","OK","negbinomial.size",0.00378352359038882,0.02588410583266,"Snhg6",264,TRUE
"Cops5","OK","negbinomial.size",0.103164349636935,0.293192924684629,"Cops5",188,TRUE
"Cspp1","OK","negbinomial.size",0.856084073776677,0.934840800020221,"Cspp1",107,TRUE
"Arfgef1","OK","negbinomial.size",0.817307591282873,0.912862440737155,"Arfgef1",126,TRUE
"Prex2","OK","negbinomial.size",0.0430210840046801,0.165854179381217,"Prex2",28,FALSE
"Sulf1","OK","negbinomial.size",0.569235701698242,0.768852253689346,"Sulf1",264,TRUE
"Ncoa2","OK","negbinomial.size",0.778135735342621,0.893859460829524,"Ncoa2",70,TRUE
"Tram1","OK","negbinomial.size",0.00254974734470666,0.0187606492086559,"Tram1",508,TRUE
"Lactb2","OK","negbinomial.size",0.720676390705033,0.860552190553184,"Lactb2",66,TRUE
"Terf1","OK","negbinomial.size",0.780359503182014,0.89452690289063,"Terf1",71,TRUE
"Rpl7","OK","negbinomial.size",0.00217199423274927,0.0164677722409934,"Rpl7",728,TRUE
"Rdh10","OK","negbinomial.size",0.211386531589103,0.453879569455353,"Rdh10",52,TRUE
"Stau2","OK","negbinomial.size",0.137509680858666,0.35229389202154,"Stau2",67,TRUE
"Ube2w","OK","negbinomial.size",0.434245115932488,0.672248428217075,"Ube2w",215,TRUE
"Tceb1","OK","negbinomial.size",0.0344776643915928,0.141215437363825,"Tceb1",476,TRUE
"Tmem70","OK","negbinomial.size",0.335748637342911,0.589810194397972,"Tmem70",172,TRUE
"Ly96","OK","negbinomial.size",0.0502864878806913,0.185243386979299,"Ly96",62,TRUE
"Gm16070","OK","negbinomial.size",0.239882780472915,0.486274681255333,"Gm16070",13,FALSE
"Crispld1","OK","negbinomial.size",0.00546397814808024,0.034553803119293,"Crispld1",306,TRUE
"Mcm3","OK","negbinomial.size",0.894768864604791,0.953206568757609,"Mcm3",35,FALSE
"Tram2","OK","negbinomial.size",0.877033086455046,0.945099455884594,"Tram2",220,TRUE
"Tmem14a","OK","negbinomial.size",0.905251499441356,0.958144671633154,"Tmem14a",67,TRUE
"Ogfrl1","OK","negbinomial.size",0.500269400499013,0.719506851833041,"Ogfrl1",86,TRUE
"Smap1","OK","negbinomial.size",0.00020115911323192,0.00213869926269156,"Smap1",429,TRUE
"Sdhaf4","OK","negbinomial.size",0.274837060803854,0.52520874886903,"Sdhaf4",209,TRUE
